query,title,year,authors,venue,doi,url,source
robot manipulator adaptive control machine learning,Machine Learning Application for SAIs,2030,Tiare Rivera,International Journal of Government Auditing,10.56251/watu4873,https://doi.org/10.56251/watu4873,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Integration of Biomechanics and Digital Technology: Using Kinovea for Motion Analysis and Learning for Beginner Athletes,2029,Muhammad Nur Hudha; Riezky Maya Probosari; Annisa Nur Khasanah; Supurwoko; Salsabila Kholifahtun Nisa’; Gifran Rihla Gifarka Latief,Journal of Coaching and Sports Science,10.58524/jcss.v4i2.890,https://doi.org/10.58524/jcss.v4i2.890,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Generative adaptive resilience: LLM-MILP modeling and strategy generation for port vessel scheduling,2029,Zhi-Hua Hu; Yao-Na Li,Safety Science,10.1016/j.ssci.2026.107233,https://doi.org/10.1016/j.ssci.2026.107233,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Sparsity Learning via Structured Functional Factor Augmentation,2029,Hanteng Ma; Ziliang Shen; Xingdong Feng; Xin Liu,Statistica Sinica,10.5705/ss.202025.0205,https://doi.org/10.5705/ss.202025.0205,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Cyber Defense Digital Twins: A Federated Learning and Zero-Trust AI Architecture for Autonomous Threat Prediction and Response,2028,Sivaramakrishnan Narayanan,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",10.32628/cseit251116279,https://doi.org/10.32628/cseit251116279,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,The Nexus of Leadership and Learning: Exploring Female Principals' Influence on the Teaching-Learning Process in Secondary Schools,2028,Muhammad Niqab; Salma Tabbasum; Shakil Ahmad,Qlantic Journal of Social Sciences,10.55737/qjss.vii-i.26473,https://doi.org/10.55737/qjss.vii-i.26473,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Transforming Education through Technology: The Case of COVID 19 Digital Learning in Nagaland,2028,K Hinoca Assumi,Naveen International Journal of Research in Education (NIJRE),10.71126/nijre.v2i1.16,https://doi.org/10.71126/nijre.v2i1.16,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Enhancing IoT Ecosystems with Adaptive Wireless Sensor Networks: Challenges and Solutions,2028,M.I. Shiny; Sajini S; Praghash K; P. Praba Devi; P. Sabitha; Gandhi M,International Journal of Critical Infrastructures,10.1504/ijcis.2028.10073768,https://doi.org/10.1504/ijcis.2028.10073768,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Left Ventricle Extraction Using a DENSENET-U-Net Integrated Deep Learning Approach,2028,X. Ignatious Viola; R. Shoba Rani; G. Savitha; R. Surekha,International Journal of Internet Manufacturing and Services,10.1504/ijims.2028.10076630,https://doi.org/10.1504/ijims.2028.10076630,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,COVID-19 and FinTech market efficiency: a test of adaptive market hypothesis,2028,Sheena Sara Suresh Philip; Babak Naysary; Keshab Shrestha,International Journal of Electronic Finance,10.1504/ijef.2028.10072000,https://doi.org/10.1504/ijef.2028.10072000,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Communication-Efficient Estimation of Regularized Smoothed Support Tensor Machine,2028,Zihao Song; Lei Wang; Riquan Zhang; Weihua Zhao,Statistica Sinica,10.5705/ss.202025.0109,https://doi.org/10.5705/ss.202025.0109,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Distributed Algorithms for High-Dimensional Statistical Inference and Structure Learning with Heterogeneous Data,2028,Hongru Zhao; Xiaotong Shen,Statistica Sinica,10.5705/ss.202025.0087,https://doi.org/10.5705/ss.202025.0087,Crossref (latest topic aligned)
robot manipulator adaptive control machine learning,Zero-Day Intrusion Detection System: Training on Small Datasets with Advanced Data Augmentation and Ensemble Learning,2028,Mehaboob Mujawar; Aasheesh Raizada; Abdullah Gubbi,International Journal of Internet Manufacturing and Services,10.1504/ijims.2028.10075219,https://doi.org/10.1504/ijims.2028.10075219,Crossref (latest topic aligned)
